Lot Area,Year Built,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,SalePrice
12182,2005,340,1541,1541,0,1541,2,0,3,7,1,2,532,220
11520,2005,1588,1698,1698,0,1698,2,0,3,7,1,3,730,275
14122,2005,1794,1822,1822,0,1822,2,0,3,8,1,3,678,259
10171,2004,1515,1517,1535,0,1535,2,0,3,7,0,2,532,214
12919,2009,142,2330,2364,0,2364,2,1,2,11,2,3,820,611.657
6371,2009,625,1358,1358,0,1358,2,0,2,6,1,2,484,224
14300,2003,1473,2846,2696,0,2696,2,1,3,10,2,3,958,500
13650,2002,1093,1671,1687,563,2250,2,1,3,7,1,3,756,320
7658,2005,1296,1752,1752,0,1752,2,0,2,6,1,2,576,319.9
7132,2006,1346,1370,1370,0,1370,2,0,2,6,1,2,484,205
2628,2003,764,764,764,862,1626,2,1,2,6,0,2,474,175.5
18494,2005,1324,1324,1324,0,1324,2,0,3,6,0,2,430,199.5
3203,2006,1129,1145,1145,0,1145,2,0,2,6,0,2,437,160
3182,2004,1232,1256,1269,0,1269,2,0,2,6,1,2,430,192
13300,2004,58,384,744,630,1374,2,1,3,7,1,2,400,184.5
7851,2002,235,860,860,1100,1960,2,1,4,8,2,2,440,216.5
8577,2004,847,847,847,886,1733,2,1,3,7,1,2,433,185.088
7750,2000,134,384,774,656,1430,2,1,3,7,1,2,400,180
9505,2001,884,884,884,1151,2035,2,1,3,8,1,2,434,222.5
14774,1999,1393,1393,1422,1177,2599,2,1,4,10,1,3,779,333.168
17433,1998,1629,1629,1645,830,2475,2,1,4,7,1,3,962,355
10593,1996,801,1720,1720,0,1720,2,0,3,7,1,2,527,260.4
12256,1994,431,1463,1500,1122,2622,2,1,3,9,2,2,712,325
11764,1999,628,1152,1164,1106,2270,2,1,4,9,1,3,671,290
16770,1998,1195,1195,1195,644,1839,2,1,4,7,0,2,486,221
14720,1995,1217,2033,2053,1185,3238,2,1,4,9,1,3,666,410
8987,2005,1595,1595,1595,0,1595,2,0,2,6,1,3,880,221.5
9215,2009,1218,1218,1218,0,1218,2,0,2,4,0,2,676,204.5
8640,2009,732,756,764,783,1547,2,1,3,7,0,2,614,215.2
9000,2008,488,1566,1566,0,1566,2,0,3,7,0,2,750,262.5
12552,2004,769,991,991,956,1947,2,1,3,8,1,2,678,254.9
10440,2005,54,1468,1468,0,1468,2,0,2,6,1,2,528,271.5
10142,2004,300,956,956,1128,2084,2,1,4,8,0,2,618,233
11920,2004,831,831,831,828,1659,2,1,3,8,0,2,484,181
8880,1994,253,948,1222,888,2110,2,1,3,8,2,2,463,205
8012,1980,261,923,923,0,923,2,0,2,5,1,1,264,143
11218,1992,1055,1055,1055,790,1845,2,1,3,8,1,2,462,189
7892,1979,918,918,918,0,918,2,0,2,5,1,1,264,99.5
7175,1984,0,744,752,0,752,1,0,2,4,0,1,264,125
9453,1993,594,996,1014,730,1744,2,1,3,7,0,2,457,194.5
9672,1984,702,1040,1097,0,1097,2,0,3,6,0,2,480,152
8400,1980,650,650,888,676,1564,2,1,3,7,1,2,476,171
9800,1920,816,816,1012,0,1012,1,0,2,5,0,1,429,67.5
8930,1978,0,0,1318,584,1902,2,0,4,8,0,2,539,112
11782,1961,210,1109,1155,0,1155,1,0,3,6,0,2,576,148
8450,1965,224,894,894,0,894,1,0,3,5,1,1,336,138.5
9819,1967,432,882,900,0,900,1,0,3,5,0,1,280,122
7500,1963,216,1040,1040,0,1040,1,1,3,5,0,1,308,133
6897,1962,381,1040,1040,0,1040,1,1,3,6,0,1,260,127
15410,1974,223,1208,1494,0,1494,2,0,3,7,2,2,461,169
10186,1992,76,750,1061,862,1923,2,1,3,8,1,2,564,190
13143,1993,0,1231,1251,1098,2349,2,1,4,9,1,3,762,362.5
11134,1992,261,1390,1402,823,2225,2,1,4,7,1,3,713,285
4835,2004,190,1488,1488,0,1488,2,0,2,6,1,2,506,260
3515,2004,840,840,840,840,1680,2,1,2,3,0,2,588,190
3215,2004,320,600,600,600,1200,2,1,2,4,0,2,480,155
3182,2004,600,600,600,600,1200,2,1,2,4,0,2,480,151
2544,2004,190,600,600,600,1200,2,1,2,4,0,2,480,149.5
2544,2005,224,600,600,636,1236,2,1,2,4,0,2,480,152
4403,2009,892,1470,1478,0,1478,2,1,2,7,1,2,484,222
2117,2000,378,756,769,804,1573,2,1,3,5,0,2,440,177.5
2980,2000,290,756,756,756,1512,2,1,2,5,0,2,440,177
2572,1999,92,696,696,720,1416,2,1,3,6,0,2,484,155
2403,2003,286,530,530,550,1080,2,1,2,4,0,2,496,147.11
12853,2010,610,1642,1418,0,1418,1,1,1,6,1,3,852,267.916
7379,2000,491,975,975,873,1848,2,1,3,7,1,2,592,254
4420,1980,0,728,788,0,788,1,0,1,3,1,2,484,155
3880,1978,174,1226,1226,0,1226,1,0,1,4,1,2,484,206
13517,1976,192,725,725,754,1479,2,1,3,6,0,2,475,130.5
8000,2002,659,1492,1492,0,1492,2,0,3,6,1,2,596,230
10456,1967,1323,1829,1829,0,1829,2,0,4,8,0,2,535,218.5
10791,1993,143,1280,1280,1215,2495,2,1,4,9,1,2,660,243.5
10603,1977,410,1610,1610,0,1610,2,0,3,6,2,2,480,205
18837,1978,491,1224,1287,604,1891,3,0,3,7,1,2,678,212.5
10421,1988,586,980,980,734,1714,2,1,3,7,1,2,496,196.5
9360,1972,179,1161,1381,0,1381,1,1,3,5,1,2,676,197.5
9600,1971,386,715,930,715,1645,1,2,4,7,0,2,441,171
9600,1966,534,1232,1232,0,1232,1,1,3,6,0,2,490,142.25
9790,1963,678,1328,1328,0,1328,1,1,3,6,2,2,528,143
9320,1959,381,950,1225,0,1225,1,1,3,6,0,0,0,128.95
9900,1966,150,1209,1209,0,1209,1,0,3,6,0,2,504,159
9680,1967,500,1510,1510,0,1510,2,0,3,6,0,2,517,178.9
10600,1964,533,533,1131,644,1775,2,0,3,8,0,2,480,136.3
14112,1964,138,1152,1152,0,1152,1,0,3,6,1,2,484,180.5
8800,1963,173,936,1054,0,1054,1,0,3,6,0,2,480,137.5
13260,1962,228,1728,1728,0,1728,2,0,6,10,0,0,0,84.9
9717,1950,0,1078,1078,0,1078,1,0,2,5,0,1,240,142.125
9724,1952,470,1140,1929,532,2461,2,0,3,7,2,2,400,197.6
17360,1949,482,782,1019,537,1556,2,0,3,6,1,2,470,172.5
7207,1958,162,858,858,0,858,1,0,2,4,0,0,0,116.5
5350,1940,728,728,1306,0,1306,1,0,3,6,0,0,0,76.5
9920,1954,412,1056,1063,0,1063,1,0,3,6,0,1,280,128
9600,1955,350,1156,1520,0,1520,1,0,3,7,2,1,364,153
7800,1954,728,1268,1268,0,1268,1,0,2,7,1,1,244,132
11380,1966,136,1080,1128,0,1128,1,0,2,5,1,1,315,178
11600,1960,662,1105,1105,1169,2274,2,0,5,12,0,2,480,154.3
19900,1970,1035,1947,2207,0,2207,2,0,3,7,1,2,576,180
16492,1966,557,1517,1888,0,1888,2,1,2,6,1,2,578,190
8267,1958,1604,1604,1604,0,1604,2,0,4,8,0,2,576,135
8197,2003,292,1480,1480,0,1480,2,0,3,7,0,2,620,214
8050,1959,125,1143,1143,0,1143,1,0,3,6,0,1,308,136
10552,1959,380,1398,1700,0,1700,1,1,4,6,1,2,447,165.5
8400,1957,392,1314,1314,0,1314,1,0,3,5,0,1,294,145
8760,1959,1194,1194,1194,0,1194,1,0,3,6,0,1,312,148
12160,1959,188,1188,1188,0,1188,1,0,3,6,0,2,531,142
9300,1960,571,1268,1264,0,1264,1,0,3,6,2,2,461,167.5
10725,1959,270,1206,1206,0,1206,1,0,3,6,0,1,312,108.538
10032,1959,510,1244,1580,0,1580,1,1,3,6,2,2,440,159.5
8382,1956,832,832,832,505,1337,1,0,3,5,0,1,263,108
10950,1952,525,864,1064,0,1064,1,0,2,4,0,1,318,135
10895,1955,324,972,972,0,972,1,0,3,5,0,1,305,122.5
13587,1958,456,988,988,0,988,1,0,2,5,0,1,264,119
7922,1953,326,1057,1057,0,1057,1,0,3,5,0,1,246,109
7898,1920,576,576,985,0,985,1,0,2,4,0,2,676,105
7200,1955,0,0,827,0,827,1,0,2,5,1,1,392,107.5
10200,1954,404,1086,1086,0,1086,1,0,3,6,0,2,490,144.9
5868,1956,448,936,936,0,936,1,0,2,4,0,1,308,129
17503,1948,912,912,912,546,1458,1,0,3,6,1,1,330,97.5
6979,1980,0,1056,1056,0,1056,0,0,0,4,0,2,576,144
9830,1959,733,1063,1287,0,1287,1,0,3,7,1,2,576,162
11275,1967,710,710,1898,1080,2978,2,1,5,11,1,2,564,242
8064,1948,161,816,816,408,1224,1,0,3,5,0,1,280,132
7500,1959,0,1246,1246,0,1246,1,1,3,6,0,1,305,154
8520,1952,403,910,910,475,1385,2,0,4,6,0,2,720,166
7200,1951,180,900,900,0,900,1,0,3,5,0,2,576,134.8
10000,1962,1116,1116,1116,0,1116,1,1,3,5,0,2,440,160
7635,1960,237,1175,1175,0,1175,1,1,3,6,0,2,484,148
9760,1963,415,1395,1395,0,1395,1,0,2,7,1,2,440,192
7700,1966,756,756,1051,788,1839,1,1,4,7,1,2,442,155
4800,1900,661,709,1157,687,1844,1,0,3,9,2,1,240,80.4
8800,1910,576,576,792,348,1140,1,0,3,7,0,0,0,96.5
4485,1920,357,936,936,0,936,1,0,2,5,1,0,0,109.5
8960,1927,1008,1008,1028,0,1028,1,0,2,5,1,2,360,115
5805,1957,0,1347,1347,0,1347,1,0,3,6,0,2,551,143
5790,1915,840,840,840,765,1605,2,0,3,8,0,1,379,107.4
4608,1945,747,747,747,0,747,1,0,2,4,0,1,220,80
7200,1940,278,788,804,0,804,1,0,2,4,2,1,240,119
5500,1929,0,926,926,0,1316,1,0,3,6,0,2,484,130
6900,1938,827,827,827,424,1251,1,0,3,6,0,1,240,119
11851,1948,247,1027,1027,606,1633,1,0,3,7,1,1,240,129
8239,1920,832,1008,1060,185,1245,1,0,3,6,0,1,315,100
9656,1923,678,678,832,0,832,1,0,2,5,1,2,780,12.789
8520,1928,624,624,720,0,720,1,0,2,5,0,2,484,105.9
9600,1900,930,930,930,636,1566,2,0,3,7,0,1,288,150
10800,1915,0,686,966,686,1652,2,0,4,7,0,1,416,139
9000,1890,346,346,1157,1111,2268,3,0,3,7,0,2,624,240
9045,1910,840,840,1128,1128,2256,2,0,4,12,0,0,0,76.5
7407,1957,312,912,1236,0,1236,1,0,2,6,0,2,923,149.7
7740,1910,622,622,741,622,1363,1,0,3,6,0,2,528,125.5
11340,1885,777,777,1246,1044,2290,2,0,4,11,0,2,560,122.5
10560,1922,455,738,868,602,1470,1,1,2,6,0,2,624,140.75
5830,1950,200,988,1030,582,1612,1,1,3,7,0,1,363,128.5
7793,1922,634,1108,1160,908,2068,1,1,3,8,1,1,315,209.5
5000,1925,577,765,765,0,765,1,0,2,4,0,1,200,87
6000,1939,144,608,608,524,1132,1,0,2,5,0,1,240,134
6000,1940,308,572,848,348,1196,1,1,3,6,2,2,576,128
6360,1942,316,835,955,498,1453,1,1,3,7,2,1,240,132
6000,1948,480,780,780,636,1416,1,1,3,6,0,1,312,139.9
6240,1936,252,528,548,492,1040,1,0,2,5,0,2,624,123.9
6240,1930,480,928,928,608,1536,2,0,4,7,1,2,480,138.4
6120,1923,164,1124,1068,0,1068,1,0,2,5,1,1,288,109.5
10300,1921,576,576,902,808,1710,2,0,3,9,0,2,480,140
8094,1915,888,888,888,1074,1962,1,1,4,9,1,2,572,149.5
12900,1912,780,780,780,780,1560,1,1,3,7,0,0,0,159.9
3068,1920,662,662,662,662,1324,1,0,3,6,0,1,180,122
8472,1963,0,816,816,0,816,1,0,2,5,0,2,516,110
5600,1930,0,0,372,720,1092,2,0,3,7,0,0,0,55
7630,1900,360,360,1032,780,1812,2,0,4,8,1,2,672,140
24090,1940,1032,1032,1207,1196,2403,2,0,4,10,2,1,349,244.4
15263,1959,656,1422,1675,0,1675,2,0,3,8,2,1,365,173
10632,1917,689,689,725,499,1224,1,1,3,6,0,1,180,107.5
9900,1915,186,1212,1212,180,1392,1,0,3,6,0,0,0,100
6001,1940,232,600,600,319,919,1,0,3,5,0,1,231,95
6449,1907,634,707,942,942,1884,1,1,4,7,0,0,0,93.369
6048,1910,120,856,936,744,1680,2,0,2,7,1,2,450,114.9
6342,1875,780,780,780,240,1020,1,0,2,6,0,0,0,94
10773,1967,1128,1832,1832,0,1832,2,0,4,8,0,0,0,136
10778,1968,1768,1768,1768,0,1768,2,0,4,8,0,0,0,136.5
11625,1965,198,1039,1039,0,1039,1,1,3,6,0,2,504,131.5
11341,1957,90,1392,1392,0,1392,1,1,3,5,1,2,528,121.5
8521,1967,70,912,912,0,912,1,0,3,5,1,1,336,125
8246,1968,204,1060,1060,0,1060,1,0,3,6,1,1,270,154
7800,1966,150,864,892,0,892,1,0,3,5,0,1,416,137.9
9364,1969,292,663,663,689,1352,1,1,4,7,0,1,299,158
7832,1968,89,864,864,0,864,1,0,2,4,0,1,280,137.25
7424,1978,0,1319,1373,0,1373,1,0,3,5,2,2,591,160.25
11227,1968,0,720,720,720,1440,1,1,4,7,2,2,480,163
11616,1978,234,672,672,714,1386,2,1,3,6,1,2,440,158.9
14000,1996,105,1306,1306,954,2260,2,1,3,7,0,2,533,328
20062,1977,328,1420,1483,0,1483,1,1,1,4,2,2,690,270
9259,1927,660,660,756,0,756,1,0,2,4,0,2,440,85
9600,1950,625,1067,1067,0,1067,2,0,2,4,0,2,436,128
23595,1979,74,1332,1332,192,1524,0,1,0,4,1,2,586,260
17082,1978,153,1117,1117,864,1981,2,1,4,8,1,2,522,230
18600,1938,0,972,1052,558,1610,2,0,4,8,1,1,480,124
10625,1920,350,458,835,0,835,1,0,2,5,0,1,366,83
11479,1950,172,663,1074,0,1074,1,0,3,6,1,1,467,144.5
9571,1956,405,1144,1144,0,1144,1,0,3,6,0,1,596,129
9350,1947,564,756,1169,0,1531,1,0,3,8,1,1,209,127
9525,1954,218,1172,1172,0,1172,1,0,3,5,0,1,366,128
10420,2009,1176,1212,1212,0,1212,2,0,3,6,0,2,460,186
17485,2009,162,1508,1508,0,1508,1,0,1,5,2,2,572,308.03
11200,1964,1250,1250,1298,0,1298,2,0,3,5,0,2,504,114
11100,1946,0,0,930,0,930,1,0,2,6,0,1,308,84.9
9206,1985,741,741,977,755,1732,2,1,3,7,1,2,476,178
11980,1987,0,1433,1433,0,1433,1,1,1,4,2,2,528,270
12361,1993,86,946,964,838,1802,2,1,3,8,1,4,1017,218
9938,1993,300,1050,1062,887,1949,2,1,3,8,1,2,574,236
9069,1992,189,936,996,0,996,1,0,2,5,0,2,564,147
10475,2008,1694,1694,1694,0,1694,2,0,3,7,0,3,776,245.35
6762,2006,501,1187,1208,0,1208,2,0,2,6,0,2,632,206
10402,2009,1226,1226,1226,0,1226,2,0,3,6,0,3,740,198.9
7360,2010,1198,1222,1222,0,1222,2,0,2,6,0,2,615,187
12376,1990,203,1673,1699,1523,3222,3,0,5,11,2,3,594,320
14235,1900,676,676,831,614,1445,2,0,3,6,0,2,484,138.5
8816,1971,506,1010,1052,0,1052,1,0,3,6,0,2,440,155
11105,1996,0,870,965,0,965,1,0,2,4,0,2,580,159
9337,1997,525,878,892,800,1692,2,1,3,8,1,2,513,191
8750,1998,299,804,804,878,1682,2,1,3,7,0,2,523,200.5
15240,1977,140,1026,1026,0,1026,1,1,3,5,0,1,308,150
10900,1977,311,689,689,703,1392,1,1,3,6,0,1,299,161.75
10650,1976,0,894,894,0,894,1,0,3,5,0,1,308,128.2
7480,1972,396,876,876,0,876,1,0,3,5,0,2,484,127
10389,2003,296,1978,1978,0,1978,2,1,3,8,1,3,850,318
11423,2001,223,1581,1601,0,1601,2,0,3,6,1,2,670,272
9548,2003,458,941,941,888,1829,2,1,3,7,1,2,613,237
9375,1997,1040,1040,1044,1054,2098,2,1,4,9,1,2,621,240
12137,1998,1649,1649,1661,0,1661,2,0,3,6,0,2,598,224.9
4435,2003,176,848,848,0,848,1,0,1,4,0,2,420,143.75
4426,2004,186,848,848,0,848,1,0,1,3,0,2,420,143
10635,2003,315,1657,1668,0,1668,2,0,3,8,1,2,502,232
8400,2004,761,1473,1484,0,1484,2,0,3,7,0,2,606,213
8773,2004,1390,1414,1414,0,1414,2,0,3,6,0,2,494,185.5
8777,1945,0,0,640,0,640,1,0,2,5,0,1,240,84.9
8842,1954,381,381,992,0,992,1,0,3,6,0,1,319,155.891
9825,1965,0,0,1664,0,1664,2,0,4,8,0,0,0,100
10044,1968,126,1196,1196,0,1196,1,0,3,6,0,1,336,144
11792,1948,744,744,792,328,1120,1,0,2,5,0,2,480,64
6305,1975,480,1008,1096,0,1096,1,0,3,5,1,1,352,125.2
7819,1976,480,1029,1117,0,1117,1,0,3,6,1,2,672,107
6410,1958,960,960,960,0,960,1,0,3,5,0,0,0,90
8546,2003,1121,1121,1121,0,1121,2,0,2,5,0,2,440,140
8741,1945,641,735,798,689,1487,1,1,3,7,1,1,220,113
12180,1941,324,672,672,252,924,1,0,2,5,0,1,280,80
8562,1957,833,1216,1526,0,1526,1,0,4,7,1,1,364,144.5
4853,1924,974,1107,1296,0,1296,2,0,2,5,1,1,260,104
6858,1915,806,806,841,806,1647,1,1,4,6,0,1,216,128
8212,1914,661,864,864,0,864,1,0,2,5,0,1,200,58.5
5000,1924,808,1026,1026,665,1691,2,0,3,6,1,1,308,127
7890,1939,618,856,856,0,856,1,0,2,4,1,2,399,126
7200,1967,0,0,862,1788,2650,3,0,6,10,0,0,0,160
9839,1931,894,894,894,772,1666,1,0,3,7,1,0,0,100
9638,1919,804,804,1699,748,2447,2,0,4,10,1,1,336,169
10452,1941,850,1528,1225,908,2133,1,1,4,8,2,1,312,257.5
15600,1950,657,1032,1102,1075,2177,2,1,5,11,0,2,484,215
9042,1941,877,1152,1188,1152,2340,2,0,4,9,2,1,252,266.5
17500,1959,496,1902,1902,0,1902,2,0,3,7,2,2,567,335
19645,1994,80,423,896,756,1652,2,1,3,6,0,2,473,203.135
3907,1989,235,982,1034,0,1034,1,0,1,4,1,2,598,185
3907,1989,1115,1191,1191,0,1191,2,0,2,5,1,2,531,162.5
15602,1959,254,1501,1801,0,1801,2,0,1,6,2,2,484,289
5436,1922,61,796,796,358,1154,1,0,3,7,0,1,240,125.5
8154,1941,0,480,540,0,540,1,0,1,4,0,1,200,82
9140,1921,321,629,727,380,1107,1,0,2,5,0,1,625,110
7500,1920,698,698,698,430,1128,1,0,2,6,0,2,528,68.4
8712,1900,859,859,859,319,1178,1,0,2,7,0,1,384,102.776
8712,1952,540,540,1044,0,1044,1,0,2,4,0,2,504,55.993
8712,1896,756,756,952,0,952,1,0,3,5,0,1,330,50.138
3811,2004,221,1594,1646,0,1646,2,0,2,5,1,2,525,246
11050,1998,434,1049,1036,880,1916,2,1,3,8,1,3,741,254.9
9620,1977,564,1243,1285,0,1285,2,0,3,6,1,2,473,190
9196,2003,1560,1560,1560,0,1560,2,0,3,7,0,2,573,201
12328,1976,473,1012,1034,0,1034,1,0,3,6,0,3,888,169.9
12760,1976,1958,1958,2048,0,2048,3,0,5,9,0,2,776,170
57200,1948,60,747,1687,0,1687,1,0,3,7,2,2,572,160
11896,2008,1258,1336,1346,0,1346,2,0,3,6,1,3,660,220
9803,2009,1214,1214,1214,0,1214,2,0,2,6,0,2,520,179.781
9802,2006,384,384,744,700,1444,2,1,3,7,0,2,400,174
12003,2009,774,774,774,1194,1968,2,1,4,8,1,3,680,269.5
11316,2002,193,817,824,1070,1894,2,1,4,8,1,2,510,214.9
14191,2002,967,967,993,915,1908,2,1,4,9,0,2,431,202.9
13214,2008,2002,2002,2018,0,2018,2,0,3,10,1,3,746,378.5
15300,1965,1026,1068,1264,0,1264,1,0,2,7,1,2,528,169
10114,2004,1430,1430,1430,0,1430,2,0,3,7,0,2,624,173.5
9400,1971,912,912,912,912,1824,2,2,4,8,0,0,0,139
11875,1999,1344,1344,1344,0,1344,2,0,3,7,1,2,686,166.5
1974,1973,212,546,546,546,1092,1,1,3,6,0,1,286,83.5
2394,1973,30,945,945,0,945,1,0,2,5,1,1,253,119.5
2592,1976,175,536,536,576,1112,1,1,3,4,0,1,336,85
1476,1970,370,546,546,546,1092,1,1,3,5,0,0,0,76
1491,1972,0,630,630,0,630,1,0,1,3,0,0,0,75.5
1900,1970,546,546,546,546,1092,1,1,3,5,0,0,0,88.25
1890,1972,252,546,546,546,1092,1,1,3,5,0,1,286,85.5
6953,1971,395,864,874,0,874,1,0,3,5,0,1,352,130
26142,1962,595,1188,1188,0,1188,1,0,3,6,0,1,312,157.9
12887,1984,36,833,833,0,833,1,0,2,5,0,2,495,149.9
7700,1985,1216,1216,1216,1216,2432,4,2,4,10,0,2,616,159
10475,1991,166,624,624,650,1274,1,1,3,6,0,2,576,136
10544,1969,388,864,864,615,1479,2,0,5,8,0,1,275,161
9892,1994,54,1679,1803,0,1803,2,1,3,6,2,2,482,285
12961,1993,208,1152,1152,645,1797,2,1,3,7,1,2,616,231
13008,1956,318,882,882,0,882,1,0,2,5,0,1,502,124.5
10200,1974,590,1434,1434,0,1434,2,0,4,7,1,2,528,157
13860,1972,542,1952,2000,704,2704,2,1,4,9,3,2,538,345
10179,1997,98,945,945,663,1608,2,1,3,7,1,2,470,189.5
11792,2003,158,1008,1008,1275,2283,2,1,4,9,1,3,632,270
8400,1996,100,384,958,670,1628,2,1,3,7,1,2,390,189
14892,2006,426,1746,1746,0,1746,2,0,3,7,2,3,758,377.5
8530,1995,384,384,804,670,1474,2,1,3,7,1,2,400,168.5
7296,2004,243,2208,2522,0,2522,2,0,1,8,1,2,564,375
5664,2000,343,1501,1659,0,1659,2,0,2,5,1,2,499,278
7380,1998,1077,1418,1478,0,1478,2,0,2,5,0,2,495,240
8013,1995,846,1587,1734,0,1734,2,0,2,6,0,2,528,239.5
8923,1998,195,384,751,631,1382,2,1,3,7,1,2,396,177.5
10141,1998,832,832,885,833,1718,2,1,3,7,1,2,427,185
7500,1998,476,952,952,684,1636,2,1,3,7,1,2,440,191
7837,1993,799,799,799,772,1571,2,1,3,7,1,2,380,178
9765,1993,370,680,680,790,1470,2,1,3,6,1,2,420,185
8803,1994,107,707,707,809,1516,2,1,3,7,1,2,409,181.316
7250,1993,1181,1181,1190,0,1190,2,0,3,6,1,2,430,166
9636,1992,808,808,808,785,1593,2,1,3,7,1,2,389,178
8125,1994,702,702,702,779,1481,2,1,3,6,1,2,343,174
9248,1992,598,1158,1167,0,1167,2,0,3,6,0,2,400,173
10762,1999,284,978,1005,978,1983,2,1,3,9,1,2,490,225
11851,1990,1424,1424,1442,0,1442,2,0,3,5,0,2,500,180.5
5814,1984,184,1220,1360,0,1360,1,0,1,4,1,2,565,187.5
17423,2008,312,2216,2234,0,2234,2,0,1,9,1,3,1166,501.837
11844,2008,2046,2046,2046,0,2046,2,1,3,7,1,3,834,372.5
16158,2005,256,1530,1530,0,1530,2,0,3,7,1,2,430,260
11900,1977,722,1122,946,988,1934,2,1,3,6,1,2,567,185
13005,1980,153,845,1153,1200,2353,2,1,4,10,1,2,484,260
17043,1979,1362,1362,1586,0,1586,2,0,3,7,1,2,435,181
11900,1977,564,1386,1411,0,1411,2,0,3,6,1,2,544,82.5
16635,1977,356,1602,1602,0,1602,2,0,3,8,1,2,529,215
13250,1978,832,832,1154,896,2050,2,1,4,8,1,2,529,154
10928,1978,1064,1427,1671,0,1671,2,0,3,7,1,2,484,200
12388,1980,441,1043,1539,1134,2673,2,1,4,9,1,2,441,249
14115,1980,336,1372,1472,0,1472,2,0,3,6,2,2,588,187.5
11088,1978,308,1140,1707,0,1707,2,0,3,7,1,2,479,184
9600,1981,1420,2524,2524,0,2524,2,1,4,9,1,2,542,278
11880,1978,567,1271,1601,0,1601,2,0,3,7,1,2,478,157
10400,1976,1090,1090,1370,0,1370,2,0,3,6,1,2,479,152
10304,1976,399,780,1088,780,1868,2,1,4,9,1,2,484,197.5
7000,2003,304,926,1016,868,1884,2,1,3,7,1,2,581,240.9
8004,2009,288,832,832,1103,1935,2,1,3,8,0,2,552,263.435
7500,2000,1058,1058,1058,816,1874,2,1,3,7,1,2,588,220
8470,2002,471,972,972,839,1811,2,1,3,7,1,2,565,235
9373,1975,120,1621,1621,0,1621,2,0,3,7,2,2,478,213
10140,1974,228,1116,1116,0,1116,2,0,3,6,1,2,528,167.9
11050,1975,540,1176,1193,0,1193,2,0,3,5,1,2,506,158
10140,1974,1064,1064,1350,0,1350,2,0,3,7,1,2,478,165
10448,1972,689,689,1378,741,2119,2,1,3,7,1,2,583,158
9000,1974,896,896,896,896,1792,2,2,4,8,0,0,0,136
